Rate;7;17;31;61;127
SSA;8.51921;5.83014;4.98004;4.47237;3.95172
SSA;170.13;571.42;1317.27;3235.51;8043.51
SSA-RRR;6.82859;4.13952;3.28942;2.78175;2.2611
SSA-RRR;1424.32;4189.3;8579.72;19122;45394.7
RFM;1.10643;1.10643;1.10643;1.10643;1.10643
RFM;1556.7;2085.13;2939.68;4999.69;9993.2
